sample_id,subject,video,timestamp,relative_time_bin,target_valence,target_arousal
predict1_V02_T004,predict1,2,4,0,128,128
predict1_V02_T005,predict1,2,5,0,128,128
predict1_V02_T006,predict1,2,6,0,128,128
predict1_V02_T007,predict1,2,7,0,152,87
predict1_V02_T008,predict1,2,8,0,166,73
predict1_V02_T009,predict1,2,9,0,166,73
predict1_V02_T010,predict1,2,10,0,166,73
predict1_V02_T011,predict1,2,11,0,166,73
predict1_V02_T012,predict1,2,12,0,166,73
predict1_V02_T013,predict1,2,13,0,166,73
predict1_V02_T014,predict1,2,14,1,166,73
predict1_V02_T015,predict1,2,15,1,166,73
predict1_V02_T016,predict1,2,16,1,166,73
predict1_V02_T017,predict1,2,17,1,166,73
predict1_V02_T018,predict1,2,18,1,166,73
predict1_V02_T019,predict1,2,19,1,166,73
predict1_V02_T020,predict1,2,20,1,166,73
predict1_V02_T021,predict1,2,21,1,166,73
predict1_V02_T022,predict1,2,22,1,166,73
predict1_V02_T023,predict1,2,23,1,166,73
predict1_V02_T024,predict1,2,24,1,166,73
predict1_V02_T025,predict1,2,25,1,166,73
predict1_V02_T026,predict1,2,26,1,166,73
predict1_V02_T027,predict1,2,27,1,166,73
predict1_V02_T028,predict1,2,28,2,166,73
predict1_V02_T029,predict1,2,29,2,166,73
predict1_V02_T030,predict1,2,30,2,166,73
predict1_V02_T031,predict1,2,31,2,166,73
predict1_V02_T032,predict1,2,32,2,166,73
predict1_V02_T033,predict1,2,33,2,156,73
predict1_V02_T034,predict1,2,34,2,156,73
predict1_V02_T035,predict1,2,35,2,156,73
predict1_V02_T036,predict1,2,36,2,156,73
predict1_V02_T037,predict1,2,37,2,156,73
predict1_V02_T038,predict1,2,38,2,156,73
predict1_V02_T039,predict1,2,39,2,141,73
predict1_V02_T040,predict1,2,40,2,95,73
predict1_V02_T041,predict1,2,41,2,95,73
predict1_V02_T042,predict1,2,42,3,95,73
predict1_V02_T043,predict1,2,43,3,95,73
predict1_V02_T044,predict1,2,44,3,95,73
predict1_V02_T045,predict1,2,45,3,95,73
predict1_V02_T046,predict1,2,46,3,95,73
predict1_V02_T047,predict1,2,47,3,95,73
predict1_V02_T048,predict1,2,48,3,95,73
predict1_V02_T049,predict1,2,49,3,95,73
predict1_V02_T050,predict1,2,50,3,95,73
predict1_V02_T051,predict1,2,51,3,95,73
predict1_V02_T052,predict1,2,52,3,95,73
predict1_V02_T053,predict1,2,53,3,95,73
predict1_V02_T054,predict1,2,54,3,95,73
predict1_V02_T055,predict1,2,55,4,95,73
predict1_V02_T056,predict1,2,56,4,95,73
predict1_V02_T057,predict1,2,57,4,95,73
predict1_V02_T058,predict1,2,58,4,95,73
predict1_V02_T059,predict1,2,59,4,95,73
predict1_V02_T060,predict1,2,60,4,95,73
predict1_V02_T061,predict1,2,61,4,95,73
predict1_V02_T062,predict1,2,62,4,95,73
predict1_V02_T063,predict1,2,63,4,95,73
predict1_V02_T064,predict1,2,64,4,95,73
predict1_V02_T065,predict1,2,65,4,95,73
predict1_V02_T066,predict1,2,66,4,95,73
predict1_V02_T067,predict1,2,67,4,95,73
predict1_V02_T068,predict1,2,68,4,95,73
predict1_V02_T069,predict1,2,69,5,95,73
predict1_V02_T070,predict1,2,70,5,95,73
predict1_V02_T071,predict1,2,71,5,95,73
predict1_V02_T072,predict1,2,72,5,95,73
predict1_V02_T073,predict1,2,73,5,95,73
predict1_V02_T074,predict1,2,74,5,95,73
predict1_V02_T075,predict1,2,75,5,95,73
predict1_V02_T076,predict1,2,76,5,95,73
predict1_V02_T077,predict1,2,77,5,95,73
predict1_V02_T078,predict1,2,78,5,95,73
predict1_V02_T079,predict1,2,79,5,95,73
predict1_V02_T080,predict1,2,80,5,95,73
predict1_V02_T081,predict1,2,81,5,95,73
predict1_V02_T082,predict1,2,82,5,95,73
predict1_V02_T083,predict1,2,83,6,95,68
predict1_V02_T084,predict1,2,84,6,95,68
predict1_V02_T085,predict1,2,85,6,95,68
predict1_V02_T086,predict1,2,86,6,95,68
predict1_V02_T087,predict1,2,87,6,95,68
predict1_V02_T088,predict1,2,88,6,95,54
predict1_V02_T089,predict1,2,89,6,95,47
predict1_V02_T090,predict1,2,90,6,95,47
predict1_V02_T091,predict1,2,91,6,95,47
predict1_V02_T092,predict1,2,92,6,95,47
predict1_V02_T093,predict1,2,93,6,95,47
predict1_V02_T094,predict1,2,94,6,95,47
predict1_V02_T095,predict1,2,95,6,95,47
predict1_V02_T096,predict1,2,96,7,95,47
predict1_V02_T097,predict1,2,97,7,95,47
predict1_V02_T098,predict1,2,98,7,95,47
predict1_V02_T099,predict1,2,99,7,95,47
predict1_V02_T100,predict1,2,100,7,95,47
predict1_V02_T101,predict1,2,101,7,95,47
predict1_V02_T102,predict1,2,102,7,95,47
predict1_V02_T103,predict1,2,103,7,95,47
predict1_V02_T104,predict1,2,104,7,95,47
predict1_V02_T105,predict1,2,105,7,95,47
predict1_V02_T106,predict1,2,106,7,95,47
predict1_V02_T107,predict1,2,107,7,95,47
predict1_V02_T108,predict1,2,108,7,95,44
predict1_V02_T109,predict1,2,109,7,106,11
predict1_V02_T110,predict1,2,110,8,106,11
predict1_V02_T111,predict1,2,111,8,106,11
predict1_V02_T112,predict1,2,112,8,106,11
predict1_V02_T113,predict1,2,113,8,106,11
predict1_V02_T114,predict1,2,114,8,106,11
predict1_V02_T115,predict1,2,115,8,106,11
predict1_V02_T116,predict1,2,116,8,106,11
predict1_V02_T117,predict1,2,117,8,106,11
predict1_V02_T118,predict1,2,118,8,106,11
predict1_V02_T119,predict1,2,119,8,106,11
predict1_V02_T120,predict1,2,120,8,106,11
predict1_V02_T121,predict1,2,121,8,106,11
predict1_V02_T122,predict1,2,122,8,106,11
predict1_V02_T123,predict1,2,123,8,106,11
predict1_V02_T124,predict1,2,124,9,106,11
predict1_V02_T125,predict1,2,125,9,106,11
predict1_V02_T126,predict1,2,126,9,106,11
predict1_V02_T127,predict1,2,127,9,106,11
predict1_V02_T128,predict1,2,128,9,106,11
predict1_V02_T129,predict1,2,129,9,106,11
predict1_V02_T130,predict1,2,130,9,106,11
predict1_V02_T131,predict1,2,131,9,106,11
predict1_V02_T132,predict1,2,132,9,106,11
predict1_V02_T133,predict1,2,133,9,106,11
predict1_V02_T134,predict1,2,134,9,106,11
predict1_V02_T135,predict1,2,135,9,106,11
predict1_V02_T136,predict1,2,136,9,106,11
predict1_V03_T000,predict1,3,0,0,128,128
predict1_V03_T001,predict1,3,1,0,128,128
predict1_V03_T002,predict1,3,2,0,128,128
predict1_V03_T003,predict1,3,3,0,128,128
predict1_V03_T004,predict1,3,4,0,128,128
predict1_V03_T005,predict1,3,5,0,139,128
predict1_V03_T006,predict1,3,6,0,143,128
predict1_V03_T007,predict1,3,7,0,193,170
predict1_V03_T008,predict1,3,8,0,193,170
predict1_V03_T009,predict1,3,9,1,193,170
predict1_V03_T010,predict1,3,10,1,193,170
predict1_V03_T011,predict1,3,11,1,193,170
predict1_V03_T012,predict1,3,12,1,193,170
predict1_V03_T013,predict1,3,13,1,193,170
predict1_V03_T014,predict1,3,14,1,193,170
predict1_V03_T015,predict1,3,15,1,144,170
predict1_V03_T016,predict1,3,16,1,63,192
predict1_V03_T017,predict1,3,17,1,63,192
predict1_V03_T018,predict1,3,18,2,63,192
predict1_V03_T019,predict1,3,19,2,63,192
predict1_V03_T020,predict1,3,20,2,63,192
predict1_V03_T021,predict1,3,21,2,63,192
predict1_V03_T022,predict1,3,22,2,63,192
predict1_V03_T023,predict1,3,23,2,63,192
predict1_V03_T024,predict1,3,24,2,63,192
predict1_V03_T025,predict1,3,25,2,54,192
predict1_V03_T026,predict1,3,26,2,32,221
predict1_V03_T027,predict1,3,27,3,20,226
predict1_V03_T028,predict1,3,28,3,20,226
predict1_V03_T029,predict1,3,29,3,20,226
predict1_V03_T030,predict1,3,30,3,20,226
predict1_V03_T031,predict1,3,31,3,20,226
predict1_V03_T032,predict1,3,32,3,20,226
predict1_V03_T033,predict1,3,33,3,20,226
predict1_V03_T034,predict1,3,34,3,20,226
predict1_V03_T035,predict1,3,35,3,20,226
predict1_V03_T036,predict1,3,36,4,20,226
predict1_V03_T037,predict1,3,37,4,20,226
predict1_V03_T038,predict1,3,38,4,20,226
predict1_V03_T039,predict1,3,39,4,20,226
predict1_V03_T040,predict1,3,40,4,20,226
predict1_V03_T041,predict1,3,41,4,8,226
predict1_V03_T042,predict1,3,42,4,8,226
predict1_V03_T043,predict1,3,43,4,8,226
predict1_V03_T044,predict1,3,44,4,8,226
predict1_V03_T045,predict1,3,45,5,8,226
predict1_V03_T046,predict1,3,46,5,8,226
predict1_V03_T047,predict1,3,47,5,8,226
predict1_V03_T048,predict1,3,48,5,8,226
predict1_V03_T049,predict1,3,49,5,8,226
predict1_V03_T050,predict1,3,50,5,8,226
predict1_V03_T051,predict1,3,51,5,8,226
predict1_V03_T052,predict1,3,52,5,8,226
predict1_V03_T053,predict1,3,53,5,21,217
predict1_V03_T054,predict1,3,54,6,21,217
predict1_V03_T055,predict1,3,55,6,21,217
predict1_V03_T056,predict1,3,56,6,21,217
predict1_V03_T057,predict1,3,57,6,21,217
predict1_V03_T058,predict1,3,58,6,21,217
predict1_V03_T059,predict1,3,59,6,21,217
predict1_V03_T060,predict1,3,60,6,21,217
predict1_V03_T061,predict1,3,61,6,21,217
predict1_V03_T062,predict1,3,62,6,21,217
predict1_V03_T063,predict1,3,63,7,21,217
predict1_V03_T064,predict1,3,64,7,21,217
predict1_V03_T065,predict1,3,65,7,21,217
predict1_V03_T066,predict1,3,66,7,21,217
predict1_V03_T067,predict1,3,67,7,21,217
predict1_V03_T068,predict1,3,68,7,21,217
predict1_V03_T069,predict1,3,69,7,21,217
predict1_V03_T070,predict1,3,70,7,28,217
predict1_V03_T071,predict1,3,71,7,34,217
predict1_V03_T072,predict1,3,72,8,34,217
predict1_V03_T073,predict1,3,73,8,43,217
predict1_V03_T074,predict1,3,74,8,43,217
predict1_V03_T075,predict1,3,75,8,43,217
predict1_V03_T076,predict1,3,76,8,43,217
predict1_V03_T077,predict1,3,77,8,43,217
predict1_V03_T078,predict1,3,78,8,43,217
predict1_V03_T079,predict1,3,79,8,43,217
predict1_V03_T080,predict1,3,80,8,43,217
predict1_V03_T081,predict1,3,81,9,43,217
predict1_V03_T082,predict1,3,82,9,43,217
predict1_V03_T083,predict1,3,83,9,43,217
predict1_V03_T084,predict1,3,84,9,1,255
predict1_V03_T085,predict1,3,85,9,1,255
predict1_V03_T086,predict1,3,86,9,1,255
predict1_V03_T087,predict1,3,87,9,1,255
predict1_V03_T088,predict1,3,88,9,1,255
predict1_V03_T089,predict1,3,89,9,1,255
predict1_V04_T000,predict1,4,0,0,128,128
predict1_V04_T001,predict1,4,1,0,128,128
predict1_V04_T002,predict1,4,2,0,159,187
predict1_V04_T003,predict1,4,3,0,162,187
predict1_V04_T004,predict1,4,4,0,162,187
predict1_V04_T005,predict1,4,5,0,162,187
predict1_V04_T006,predict1,4,6,0,162,187
predict1_V04_T007,predict1,4,7,0,162,187
predict1_V04_T008,predict1,4,8,1,162,187
predict1_V04_T009,predict1,4,9,1,162,187
predict1_V04_T010,predict1,4,10,1,162,187
predict1_V04_T011,predict1,4,11,1,147,187
predict1_V04_T012,predict1,4,12,1,147,187
predict1_V04_T013,predict1,4,13,1,147,187
predict1_V04_T014,predict1,4,14,1,147,187
predict1_V04_T015,predict1,4,15,1,147,187
predict1_V04_T016,predict1,4,16,2,147,187
predict1_V04_T017,predict1,4,17,2,147,187
predict1_V04_T018,predict1,4,18,2,147,187
predict1_V04_T019,predict1,4,19,2,147,187
predict1_V04_T020,predict1,4,20,2,147,187
predict1_V04_T021,predict1,4,21,2,147,192
predict1_V04_T022,predict1,4,22,2,182,212
predict1_V04_T023,predict1,4,23,2,182,212
predict1_V04_T024,predict1,4,24,3,182,212
predict1_V04_T025,predict1,4,25,3,182,212
predict1_V04_T026,predict1,4,26,3,182,212
predict1_V04_T027,predict1,4,27,3,182,212
predict1_V04_T028,predict1,4,28,3,182,208
predict1_V04_T029,predict1,4,29,3,182,199
predict1_V04_T030,predict1,4,30,3,182,199
predict1_V04_T031,predict1,4,31,3,182,199
predict1_V04_T032,predict1,4,32,4,182,199
predict1_V04_T033,predict1,4,33,4,182,199
predict1_V04_T034,predict1,4,34,4,182,199
predict1_V04_T035,predict1,4,35,4,182,199
predict1_V04_T036,predict1,4,36,4,182,199
predict1_V04_T037,predict1,4,37,4,182,199
predict1_V04_T038,predict1,4,38,4,182,199
predict1_V04_T039,predict1,4,39,4,182,199
predict1_V04_T040,predict1,4,40,5,182,199
predict1_V04_T041,predict1,4,41,5,182,199
predict1_V04_T042,predict1,4,42,5,182,199
predict1_V04_T043,predict1,4,43,5,182,199
predict1_V04_T044,predict1,4,44,5,182,199
predict1_V04_T045,predict1,4,45,5,182,199
predict1_V04_T046,predict1,4,46,5,182,199
predict1_V04_T047,predict1,4,47,5,182,199
predict1_V04_T048,predict1,4,48,6,182,199
predict1_V04_T049,predict1,4,49,6,182,199
predict1_V04_T050,predict1,4,50,6,182,199
predict1_V04_T051,predict1,4,51,6,182,199
predict1_V04_T052,predict1,4,52,6,182,199
predict1_V04_T053,predict1,4,53,6,182,199
predict1_V04_T054,predict1,4,54,6,182,199
predict1_V04_T055,predict1,4,55,6,182,199
predict1_V04_T056,predict1,4,56,7,182,199
predict1_V04_T057,predict1,4,57,7,182,199
predict1_V04_T058,predict1,4,58,7,182,199
predict1_V04_T059,predict1,4,59,7,182,199
predict1_V04_T060,predict1,4,60,7,182,199
predict1_V04_T061,predict1,4,61,7,182,199
predict1_V04_T062,predict1,4,62,7,182,199
predict1_V04_T063,predict1,4,63,7,182,199
predict1_V04_T064,predict1,4,64,8,182,199
predict1_V04_T065,predict1,4,65,8,182,199
predict1_V04_T066,predict1,4,66,8,182,199
predict1_V04_T067,predict1,4,67,8,182,199
predict1_V04_T068,predict1,4,68,8,182,199
predict1_V04_T069,predict1,4,69,8,182,199
predict1_V04_T070,predict1,4,70,8,182,199
predict1_V04_T071,predict1,4,71,8,182,199
predict1_V04_T072,predict1,4,72,9,182,199
predict1_V04_T073,predict1,4,73,9,182,199
predict1_V04_T074,predict1,4,74,9,182,199
predict1_V04_T075,predict1,4,75,9,182,199
predict1_V04_T076,predict1,4,76,9,182,199
predict1_V04_T077,predict1,4,77,9,182,199
predict1_V04_T078,predict1,4,78,9,182,199
predict1_V05_T000,predict1,5,0,0,128,128
predict1_V05_T001,predict1,5,1,0,173,94
predict1_V05_T002,predict1,5,2,0,187,94
predict1_V05_T003,predict1,5,3,0,187,94
predict1_V05_T004,predict1,5,4,0,187,94
predict1_V05_T005,predict1,5,5,0,187,94
predict1_V05_T006,predict1,5,6,0,187,94
predict1_V05_T007,predict1,5,7,0,187,94
predict1_V05_T008,predict1,5,8,0,187,94
predict1_V05_T009,predict1,5,9,0,187,94
predict1_V05_T010,predict1,5,10,0,187,94
predict1_V05_T011,predict1,5,11,0,187,94
predict1_V05_T012,predict1,5,12,0,187,94
predict1_V05_T013,predict1,5,13,0,187,94
predict1_V05_T014,predict1,5,14,1,187,81
predict1_V05_T015,predict1,5,15,1,174,77
predict1_V05_T016,predict1,5,16,1,174,77
predict1_V05_T017,predict1,5,17,1,174,77
predict1_V05_T018,predict1,5,18,1,174,77
predict1_V05_T019,predict1,5,19,1,174,77
predict1_V05_T020,predict1,5,20,1,174,77
predict1_V05_T021,predict1,5,21,1,174,77
predict1_V05_T022,predict1,5,22,1,174,77
predict1_V05_T023,predict1,5,23,1,174,77
predict1_V05_T024,predict1,5,24,1,174,77
predict1_V05_T025,predict1,5,25,1,174,77
predict1_V05_T026,predict1,5,26,1,174,77
predict1_V05_T027,predict1,5,27,2,174,77
predict1_V05_T028,predict1,5,28,2,174,77
predict1_V05_T029,predict1,5,29,2,174,77
predict1_V05_T030,predict1,5,30,2,174,77
predict1_V05_T031,predict1,5,31,2,174,77
predict1_V05_T032,predict1,5,32,2,174,77
predict1_V05_T033,predict1,5,33,2,174,77
predict1_V05_T034,predict1,5,34,2,174,77
predict1_V05_T035,predict1,5,35,2,174,77
predict1_V05_T036,predict1,5,36,2,174,77
predict1_V05_T037,predict1,5,37,2,174,77
predict1_V05_T038,predict1,5,38,2,174,77
predict1_V05_T039,predict1,5,39,2,174,77
predict1_V05_T040,predict1,5,40,2,174,77
predict1_V05_T041,predict1,5,41,3,174,77
predict1_V05_T042,predict1,5,42,3,174,77
predict1_V05_T043,predict1,5,43,3,174,77
predict1_V05_T044,predict1,5,44,3,174,77
predict1_V05_T045,predict1,5,45,3,174,77
predict1_V05_T046,predict1,5,46,3,174,77
predict1_V05_T047,predict1,5,47,3,174,77
predict1_V05_T048,predict1,5,48,3,174,77
predict1_V05_T049,predict1,5,49,3,174,77
predict1_V05_T050,predict1,5,50,3,174,77
predict1_V05_T051,predict1,5,51,3,174,77
predict1_V05_T052,predict1,5,52,3,174,77
predict1_V05_T053,predict1,5,53,3,174,77
predict1_V05_T054,predict1,5,54,4,174,77
predict1_V05_T055,predict1,5,55,4,174,77
predict1_V05_T056,predict1,5,56,4,174,77
predict1_V05_T057,predict1,5,57,4,174,77
predict1_V05_T058,predict1,5,58,4,174,77
predict1_V05_T059,predict1,5,59,4,174,77
predict1_V05_T060,predict1,5,60,4,174,77
predict1_V05_T061,predict1,5,61,4,174,77
predict1_V05_T062,predict1,5,62,4,174,77
predict1_V05_T063,predict1,5,63,4,174,77
predict1_V05_T064,predict1,5,64,4,174,77
predict1_V05_T065,predict1,5,65,4,174,77
predict1_V05_T066,predict1,5,66,4,174,77
predict1_V05_T067,predict1,5,67,4,174,77
predict1_V05_T068,predict1,5,68,5,174,77
predict1_V05_T069,predict1,5,69,5,174,77
predict1_V05_T070,predict1,5,70,5,174,77
predict1_V05_T071,predict1,5,71,5,174,77
predict1_V05_T072,predict1,5,72,5,174,77
predict1_V05_T073,predict1,5,73,5,174,77
predict1_V05_T074,predict1,5,74,5,174,77
predict1_V05_T075,predict1,5,75,5,174,77
predict1_V05_T076,predict1,5,76,5,174,77
predict1_V05_T077,predict1,5,77,5,174,77
predict1_V05_T078,predict1,5,78,5,174,77
predict1_V05_T079,predict1,5,79,5,174,77
predict1_V05_T080,predict1,5,80,5,174,77
predict1_V05_T081,predict1,5,81,6,174,77
predict1_V05_T082,predict1,5,82,6,174,77
predict1_V05_T083,predict1,5,83,6,174,77
predict1_V05_T084,predict1,5,84,6,174,77
predict1_V05_T085,predict1,5,85,6,174,77
predict1_V05_T086,predict1,5,86,6,174,77
predict1_V05_T087,predict1,5,87,6,174,77
predict1_V05_T088,predict1,5,88,6,174,77
predict1_V05_T089,predict1,5,89,6,174,77
predict1_V05_T090,predict1,5,90,6,174,77
predict1_V05_T091,predict1,5,91,6,174,77
predict1_V05_T092,predict1,5,92,6,174,77
predict1_V05_T093,predict1,5,93,6,174,77
predict1_V05_T094,predict1,5,94,6,174,77
predict1_V05_T095,predict1,5,95,7,174,77
predict1_V05_T096,predict1,5,96,7,174,77
predict1_V05_T097,predict1,5,97,7,174,77
predict1_V05_T098,predict1,5,98,7,174,77
predict1_V05_T099,predict1,5,99,7,174,77
predict1_V05_T100,predict1,5,100,7,174,77
predict1_V05_T101,predict1,5,101,7,174,77
predict1_V05_T102,predict1,5,102,7,174,77
predict1_V05_T103,predict1,5,103,7,174,77
predict1_V05_T104,predict1,5,104,7,174,77
predict1_V05_T105,predict1,5,105,7,174,77
predict1_V05_T106,predict1,5,106,7,174,77
predict1_V05_T107,predict1,5,107,7,174,77
predict1_V05_T108,predict1,5,108,8,174,77
predict1_V05_T109,predict1,5,109,8,174,77
predict1_V05_T110,predict1,5,110,8,174,77
predict1_V05_T111,predict1,5,111,8,174,77
predict1_V05_T112,predict1,5,112,8,174,77
predict1_V05_T113,predict1,5,113,8,174,77
predict1_V05_T114,predict1,5,114,8,174,77
predict1_V05_T115,predict1,5,115,8,174,77
predict1_V05_T116,predict1,5,116,8,174,77
predict1_V05_T117,predict1,5,117,8,174,77
predict1_V05_T118,predict1,5,118,8,174,77
predict1_V05_T119,predict1,5,119,8,174,77
predict1_V05_T120,predict1,5,120,8,174,77
predict1_V05_T121,predict1,5,121,8,174,77
predict1_V05_T122,predict1,5,122,9,174,77
predict1_V05_T123,predict1,5,123,9,174,77
predict1_V05_T124,predict1,5,124,9,174,77
predict1_V05_T125,predict1,5,125,9,174,77
predict1_V05_T126,predict1,5,126,9,174,77
predict1_V05_T127,predict1,5,127,9,174,77
predict1_V05_T128,predict1,5,128,9,174,77
predict1_V05_T129,predict1,5,129,9,174,77
predict1_V05_T130,predict1,5,130,9,174,77
predict1_V05_T131,predict1,5,131,9,174,77
predict1_V05_T132,predict1,5,132,9,174,77
predict1_V05_T133,predict1,5,133,9,174,77
predict1_V05_T134,predict1,5,134,9,174,77
predict1_V06_T000,predict1,6,0,0,128,128
predict1_V06_T001,predict1,6,1,0,128,128
predict1_V06_T002,predict1,6,2,0,128,128
predict1_V06_T003,predict1,6,3,0,128,93
